customer_id,full_name,gender,age_group,income_level,credit_score,city,region,date_joined
1,Bola Onyango,Female,60+,High,667,Nairobi,Central Africa,2020-12-14
2,Kwame Mensah,Male,26-35,Low,353,Kampala,Central Africa,2021-07-07
3,Chinedu Okafor,Male,46-60,Low,699,Kigali,West Africa,2022-09-13
4,Sibongile Acheampong,Female,46-60,Middle,336,Kigali,Southern Africa,2021-10-06
5,Chinedu Onyango,Male,46-60,Low,622,Kampala,Southern Africa,2020-06-29
6,Thabo Onyango,Female,46-60,High,446,Johannesburg,Southern Africa,2023-09-15
7,Amina Onyango,Male,46-60,Low,473,Port Harcourt,Central Africa,2022-05-13
8,Kofi Okafor,Male,46-60,Middle,500,Accra,Central Africa,2023-05-30
9,Amina Onyango,Male,46-60,Upper-Middle,321,Kampala,East Africa,2022-02-04
10,Kofi Kagiso,Male,26-35,High,413,Kigali,Central Africa,2021-04-22
11,Kofi Kagiso,Male,46-60,Low,405,Kampala,West Africa,2021-02-16
12,Lindiwe Mensah,Male,60+,High,676,Nairobi,East Africa,2023-01-18
13,Chinedu Mugabe,Male,46-60,Low,757,Lagos,West Africa,2022-01-01
14,Yemi Acheampong,Female,60+,High,685,Johannesburg,Southern Africa,2022-12-14
15,Yemi Abiola,Female,60+,High,837,Port Harcourt,Southern Africa,2023-10-20
16,Amina Onyango,Female,46-60,Middle,759,Kigali,Central Africa,2024-07-30
17,Kofi Okafor,Female,60+,Low,796,Kampala,Southern Africa,2024-08-25
18,Bola Mensah,Male,26-35,High,585,Port Harcourt,Central Africa,2022-01-04
19,Lindiwe Okafor,Male,26-35,Upper-Middle,524,Port Harcourt,West Africa,2022-12-28
20,Ngozi Okafor,Male,26-35,Upper-Middle,473,Port Harcourt,Central Africa,2020-11-15
21,Yemi Acheampong,Male,26-35,Upper-Middle,367,Accra,West Africa,2022-11-20
22,Chinedu Onyango,Female,46-60,High,329,Kampala,West Africa,2023-05-10
23,Chinedu Abiola,Male,18-25,Middle,376,Johannesburg,East Africa,2025-02-02
24,Bola Balogun,Female,60+,High,783,Nairobi,East Africa,2021-12-30
25,Kwame Okafor,Male,26-35,High,303,Accra,West Africa,2020-11-21
26,Amina Okafor,Female,18-25,Middle,409,Port Harcourt,Southern Africa,2023-02-15
27,Bola Okafor,Female,46-60,Middle,786,Nairobi,Southern Africa,2024-07-22
28,Lindiwe Mugabe,Female,26-35,High,506,Kigali,Southern Africa,2020-11-17
29,Yemi Mugabe,Female,36-45,Middle,848,Accra,East Africa,2022-11-01
30,Sibongile Kagiso,Male,18-25,High,371,Abuja,Southern Africa,2024-12-13
31,Bola Okafor,Male,46-60,Middle,829,Lagos,Southern Africa,2020-12-23
32,Bola Balogun,Male,26-35,Upper-Middle,717,Accra,Southern Africa,2024-08-05
33,Amina Onyango,Male,36-45,Upper-Middle,785,Accra,Central Africa,2024-10-29
34,Amina Balogun,Male,46-60,Low,790,Accra,West Africa,2023-12-16
35,Lindiwe Mugabe,Female,46-60,Low,658,Kampala,Southern Africa,2024-03-11
36,Ngozi Okafor,Female,26-35,Low,487,Kigali,East Africa,2021-03-18
37,Thabo Okafor,Female,60+,Middle,405,Nairobi,West Africa,2021-07-15
38,Kwame Abiola,Female,60+,Low,844,Abuja,West Africa,2023-03-14
39,Kwame Abiola,Male,60+,Middle,423,Kigali,Southern Africa,2021-11-27
40,Kwame Abiola,Male,26-35,Upper-Middle,719,Nairobi,West Africa,2023-06-29
41,Thabo Abiola,Female,60+,Low,386,Kampala,Central Africa,2022-08-15
42,Lindiwe Acheampong,Male,60+,Low,752,Johannesburg,Southern Africa,2020-09-05
43,Chinedu Okafor,Female,36-45,Low,380,Abuja,West Africa,2020-11-22
44,Thabo Abiola,Male,60+,Low,538,Nairobi,East Africa,2021-03-23
45,Sibongile Acheampong,Male,46-60,Middle,587,Johannesburg,Southern Africa,2023-04-15
46,Kofi Acheampong,Female,18-25,High,311,Port Harcourt,West Africa,2023-10-19
47,Sibongile Okafor,Male,36-45,Low,717,Lagos,Southern Africa,2022-09-20
48,Lindiwe Acheampong,Female,60+,Upper-Middle,394,Nairobi,Southern Africa,2023-01-16
49,Amina Abiola,Male,46-60,Middle,574,Accra,West Africa,2025-04-29
50,Bola Abiola,Female,36-45,Upper-Middle,441,Lagos,East Africa,2020-07-05
51,Ngozi Acheampong,Female,36-45,High,473,Lagos,Central Africa,2024-12-18
52,Bola Abiola,Male,36-45,Upper-Middle,315,Nairobi,West Africa,2022-04-21
53,Kwame Mensah,Female,36-45,Middle,690,Accra,Southern Africa,2025-01-15
54,Thabo Mensah,Female,60+,Upper-Middle,581,Port Harcourt,East Africa,2021-08-07
55,Amina Balogun,Female,60+,Upper-Middle,745,Johannesburg,West Africa,2023-07-27
56,Amina Abiola,Female,46-60,Upper-Middle,632,Port Harcourt,Southern Africa,2023-12-24
57,Chinedu Mugabe,Male,18-25,Low,494,Kampala,Central Africa,2021-06-29
58,Kwame Onyango,Female,46-60,High,777,Nairobi,Central Africa,2024-07-01
59,Kwame Balogun,Female,36-45,Upper-Middle,585,Johannesburg,East Africa,2023-02-14
60,Ngozi Acheampong,Female,60+,Upper-Middle,658,Kigali,Central Africa,2023-02-09
61,Amina Kagiso,Female,18-25,Upper-Middle,486,Johannesburg,Southern Africa,2023-06-30
62,Kofi Mugabe,Female,46-60,Middle,507,Johannesburg,West Africa,2021-09-21
63,Kwame Abiola,Male,60+,High,672,Johannesburg,Southern Africa,2023-05-03
64,Chinedu Mugabe,Female,36-45,Middle,557,Johannesburg,East Africa,2022-01-11
65,Kwame Abiola,Male,60+,High,362,Abuja,West Africa,2024-12-14
66,Sibongile Mugabe,Female,60+,High,316,Lagos,Central Africa,2022-04-06
67,Bola Balogun,Male,36-45,Upper-Middle,775,Kampala,Central Africa,2021-02-26
68,Yemi Kagiso,Female,18-25,Middle,425,Abuja,East Africa,2022-11-19
69,Amina Okafor,Female,26-35,High,496,Kigali,Central Africa,2023-03-12
70,Yemi Okafor,Female,18-25,Upper-Middle,805,Accra,Southern Africa,2023-11-26
71,Ngozi Acheampong,Female,46-60,Upper-Middle,549,Abuja,Central Africa,2022-06-28
72,Kwame Abiola,Male,60+,Upper-Middle,794,Accra,Southern Africa,2024-01-27
73,Lindiwe Acheampong,Male,26-35,High,442,Nairobi,East Africa,2021-10-19
74,Ngozi Acheampong,Female,26-35,Middle,449,Nairobi,West Africa,2025-02-02
75,Thabo Mensah,Male,46-60,Low,555,Lagos,West Africa,2023-11-01
76,Thabo Okafor,Female,60+,Low,478,Nairobi,West Africa,2020-12-31
77,Kofi Okafor,Male,26-35,Upper-Middle,418,Kampala,Central Africa,2024-04-05
78,Ngozi Mugabe,Female,26-35,High,644,Port Harcourt,West Africa,2023-01-26
79,Kwame Mensah,Female,60+,High,367,Kigali,Southern Africa,2022-03-20
80,Amina Abiola,Female,46-60,Low,658,Accra,West Africa,2021-08-11
81,Chinedu Mensah,Male,26-35,Low,511,Accra,Southern Africa,2021-07-03
82,Amina Kagiso,Female,46-60,Middle,719,Kigali,West Africa,2022-03-28
83,Ngozi Mugabe,Male,60+,Upper-Middle,842,Port Harcourt,East Africa,2023-04-03
